"ID","PageName","Title","Department","ThumbnailUrl"
"3","Almería-Solar-Farm-Goes-Live-—-250-MW-Now-Powering-180,000-Spanish-Homes.aspx","Almería Solar Farm Goes Live — 250 MW Now Powering 180,000 Spanish Homes",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sleektemplateimagetile.jpg"
"4","SB-X9-Panel-Achieves-Highest-Efficiency-Rating-in-Company-History.aspx","SB-X9 Panel Achieves Highest Efficiency Rating in Company History",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sleektemplateimagetile.jpg"
"5","Solbound-Expands-Into-APAC-With-320-MW-Rajasthan-Contract.aspx","Solbound Expands Into APAC With 320 MW Rajasthan Contract",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sleektemplateimagetile.jpg"
"6","Q1-Target-Beaten-by-18--as-Installation-Teams-Set-New-Output-Record.aspx","Q1 Target Beaten by 18% as Installation Teams Set New Output Record",,"https://cdn.hubblecontent.osi.office.net/gp-image/efadf9e2aff9ce03cfa87abcdf1b5f0b/thumbnails/large.jpg"
"7","New-EU-Net-Metering-Rules--What-Changes-on-April-1st-and-What-It-Means-for-Us-New-EU-Net-Metering-Rules--What.aspx","New EU Net Metering Rules: What Changes on April 1st and What It Means for Us",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sleektemplateimagetile.jpg"
"8","Almería-Solar-Farm-Goes-Live-—-250-MW-Now-Powering-180,000-Spanish-Homes(1).aspx","Almería Solar Farm Goes Live — 250 MW Now Powering 180,000 Spanish Homes",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sleektemplateimagetile.jpg"
"9","SB-X9-Panel-Achieves-Highest-Efficiency-Rating-in-Company-History(1).aspx","SB-X9 Panel Achieves Highest Efficiency Rating in Company History",,"https://cdn.hubblecontent.osi.office.net/m365content/publish/4d10f03d-bee8-4b1e-9d5b-0c3b7c4d10e6/thumbnails/large.jpg?file=image.jpg"
"10","Q1-Target-Beaten-by-18--as-Installation-Teams-Set-New-Output-Record(1).aspx","Q1 Target Beaten by 18% as Installation Teams Set New Output Record",,"https://cdn.hubblecontent.osi.office.net/m365content/publish/61283e3b-578c-40dd-a133-171bb5f599e5/thumbnails/large.jpg?file=image.jpg"
"11","New-EU-Net-Metering-Rules--What-Changes-on-April-1st-and-What-It-Means-for-Us.aspx","New EU Net Metering Rules: What Changes on April 1st and What It Means for Us",,"https://sympraxisdesign.sharepoint.com/_layouts/15/getpreview.ashx?path=%2Fsites%2FSolbound%2FSiteAssets%2FSitePages%2FNew-EU-Net-Metering-Rules--What-Changes-on-April-1st-and-What-It-Means-for-Us%2FFlag_of_Europe.svg"
"12","Dashboard.aspx","Dashboard",,"https://sympraxisdesign.sharepoint.com/_layouts/15/images/sitepagethumbnail.png"
"15","A-Series-Solar-Panel-Product-Guide.aspx","A-Series Solar Panel Product Guide",,"https://cdn.hubblecontent.osi.office.net/m365content/publish/91f6c36d-dcb5-41ef-b999-22dcceb4ff37/thumbnails/large.jpg?file=119451145.jpg"
"16","Product-Series---A100,-A200,-A300-&-A400.aspx","Product Series - A100, A200, A300 & A400",,"https://cdn.hubblecontent.osi.office.net/m365content/publish/91f6c36d-dcb5-41ef-b999-22dcceb4ff37/thumbnails/large.jpg?file=119451145.jpg"
"17","A‑Series-Solar-Offerings-and-Market-Differentiation.aspx","A‑Series Solar Offerings and Market Differentiation",,"https://cdn.hubblecontent.osi.office.net/m365content/publish/fd9689ac-0043-4f9f-9b4f-85faad313c0c/thumbnails/large.jpg?file=679148156.jpg"
